description,wall_direction,area,coverage_type
window,1,3.6,Glass_annealed_6mm
door,1,1.8,Timber_door
window,1,1.89,Glass_annealed_6mm
window,1,1.89,Glass_annealed_6mm
window,3,1.89,Glass_annealed_6mm
window,3,1.89,Glass_annealed_6mm
window,5,1.89,Glass_annealed_6mm
door,5,1.8,Timber_door
window,5,0.54,Glass_annealed_6mm
window,5,0.27,Glass_annealed_6mm
window,5,1.89,Glass_annealed_6mm
weatherboard,1,44.28,Brick_veneer
sheet,3,33.58,Brick_veneer
sheet,5,47.07,Brick_veneer
sheet,7,37.36,Brick_veneer
