Wind Speed(m/s),% Houses Internally Pressurized,% Debris Damage Mean
20.000,0.000,0.000
22.564,0.000,0.000
25.128,2.000,0.036
27.692,20.000,0.389
30.256,37.000,0.975
32.821,60.000,1.805
35.385,66.000,2.395
37.949,77.000,3.483
40.513,84.000,4.568
43.077,86.000,5.928
45.641,86.000,7.988
48.205,87.000,10.104
50.769,87.000,12.233
53.333,87.000,14.746
55.897,87.000,16.326
58.462,87.000,17.513
61.026,87.000,18.176
63.590,87.000,18.557
66.154,87.000,18.586
68.718,87.000,18.586
71.282,87.000,18.586
73.846,87.000,18.586
76.410,87.000,18.586
78.974,87.000,18.586
81.538,87.000,18.586
84.103,87.000,18.586
86.667,87.000,18.586
89.231,87.000,18.586
91.795,87.000,18.586
94.359,87.000,18.586
96.923,87.000,18.586
99.487,87.000,18.586
102.051,87.000,18.586
104.615,87.000,18.586
107.179,87.000,18.586
109.744,87.000,18.586
112.308,87.000,18.586
114.872,87.000,18.586
117.436,87.000,18.586
120.000,87.000,18.586
