# wind_speed,mean_di
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,1.199911712201935310e-05
3.600000000000000000e+01,3.090861655667817895e-05
3.700000000000000000e+01,4.284849443932187097e-04
3.800000000000000000e+01,1.158472619656527279e-03
3.900000000000000000e+01,2.798697897607309391e-03
4.000000000000000000e+01,6.119993221653891209e-03
4.100000000000000000e+01,2.672547176367136290e-02
4.200000000000000000e+01,3.920643233853965404e-02
4.300000000000000000e+01,5.205054041351316052e-02
4.400000000000000000e+01,9.059922351864969914e-02
4.500000000000000000e+01,1.187824815325394801e-01
4.600000000000000000e+01,1.345104284562520514e-01
4.700000000000000000e+01,1.867016908401741282e-01
4.800000000000000000e+01,2.178651982158136824e-01
4.900000000000000000e+01,2.671043530825178425e-01
5.000000000000000000e+01,3.080811514937234485e-01
5.100000000000000000e+01,3.269350224095375346e-01
5.200000000000000000e+01,3.732332186142767738e-01
5.300000000000000000e+01,4.070979225662494927e-01
5.400000000000000000e+01,4.595558105909357538e-01
5.500000000000000000e+01,4.711365465054770940e-01
5.600000000000000000e+01,5.273255717282803179e-01
5.700000000000000000e+01,5.922444687387146134e-01
5.800000000000000000e+01,6.371041655929540193e-01
5.900000000000000000e+01,6.520380295714639507e-01
6.000000000000000000e+01,6.765968983030998807e-01
6.100000000000000000e+01,7.421186124894311176e-01
6.200000000000000000e+01,7.706974300229555430e-01
6.300000000000000000e+01,7.962041990754507026e-01
6.400000000000000000e+01,8.150304474895289086e-01
6.500000000000000000e+01,8.366460395813607454e-01
6.600000000000000000e+01,8.539451175430966545e-01
6.700000000000000000e+01,8.743305815617330445e-01
6.800000000000000000e+01,8.804629348423472779e-01
6.900000000000000000e+01,8.809903975109765195e-01
7.000000000000000000e+01,8.813665520381894769e-01
7.100000000000000000e+01,8.817582729095618799e-01
7.200000000000000000e+01,8.875987284346377182e-01
7.300000000000000000e+01,8.878699422321322254e-01
7.400000000000000000e+01,8.937024066925358667e-01
7.500000000000000000e+01,8.938456066946508516e-01
7.600000000000000000e+01,8.939457947253041104e-01
7.700000000000000000e+01,8.940363223904452816e-01
7.800000000000000000e+01,8.941590696131170857e-01
7.900000000000000000e+01,8.942396745434322280e-01
8.000000000000000000e+01,8.944634480604827242e-01
8.100000000000000000e+01,8.946102482207853868e-01
8.200000000000000000e+01,8.946514961218723361e-01
8.300000000000000000e+01,8.947013716328118260e-01
8.400000000000000000e+01,8.947356095068758064e-01
8.500000000000000000e+01,8.947735079022919313e-01
8.600000000000000000e+01,8.948703727464473179e-01
8.700000000000000000e+01,8.949085657636635105e-01
8.800000000000000000e+01,8.949467065355700690e-01
8.900000000000000000e+01,8.949745231890068320e-01
9.000000000000000000e+01,8.949972428023579285e-01
